feature,gain
annual_T_mean_C,124046254.23136425
koppen,26926189.20354213
t2m_C,17319984.996607214
SHmax_azimuth_deg,3797932.02407692
t2m_C_roll96m,2140738.0660974775
t2m_C_lag1,2002992.2105173282
t2m_C_roll4m,1868218.145343408
depth_m,972084.8864371777
seasonal_amp_C,450309.1688966751
sea_influence,402032.6317645088
elevation_m,161556.38545659184
fault_distance_km,83182.35440899059
litho_class_l2,67007.3681999445
annual_precip_mm,45312.34531278908
porosity_frac,6744.212740242481
t2m_C_lag96,3078.095393503085
t2m_C_lag2,1846.9620970375836
RH_%_roll24m,957.5553880874068
t2m_C_lag64,904.128939697519
RH_%_roll16m,879.3818894382566
doy_cos,748.973296917975
RH_%_roll8m,628.7018573097885
RH_%_roll48m,545.5898887589574
RH_%,399.5641147773713
doy_sin,321.20206517726183
RH_%_roll96m,319.6840804293752
litho_class_l1,265.45149805024266
cloud_frac_roll96m,199.73601315543056
RH_%_roll4m,197.11524689756334
RH_%_lag8,196.66318485327065
drip_rate_ml_min_roll96m,194.60173220187426
RH_%_lag32,178.026656774804
RH_%_lag2,169.55742468126118
RH_%_lag1,169.264744669199
RH_%_lag24,152.70707291923463
RH_%_lag16,152.2500841524452
t2m_C_lag3,148.23000194691122
t2m_C_lag4,147.94384987652302
RH_%_lag4,144.99324411526322
RH_%_lag12,142.69333230145276
RH_%_lag3,134.72164262644947
O2_%_roll96m,127.66836893185973
t2m_C_lag8,112.66849761456251
rad_MJ_m2_lag16,112.57148772850633
rh_%_roll48m,109.32586056366563
RH_%_lag48,106.12430694140494
daylength_h_lag96,98.28392408415675
wind_m_s_roll96m,96.81800749152899
t2m_C_lag48,85.98779578693211
rad_MJ_m2_lag64,85.72371520474553
hod_cos,85.06466064415872
precip_mm_roll48m,83.01721903309226
daylength_h,78.10861873067915
CH4_ppm_roll96m,77.6502089407295
rh_%_roll96m,72.79852295666933
rh_%_roll24m,72.44090247526765
rad_MJ_m2_lag24,72.14142109826207
hod_sin,71.99837602861226
H2S_ppm_roll96m,68.91846212930977
wind_gust_m_s_roll96m,66.20114911720157
t2m_C_roll16m,59.68788329511881
rad_MJ_m2_lag96,57.80801701545715
mslp_hPa_roll96m,55.39945460110903
rad_MJ_m2_roll8m,55.39546322450042
mslp_hPa_lag96,53.230224542319775
rad_MJ_m2_roll96m,53.183746917173266
mslp_hPa_lag32,48.68755818158388
rad_MJ_m2,48.50953210145235
rad_MJ_m2_roll4m,45.88498471677303
drip_rate_ml_min_roll48m,45.31917701661587
rad_MJ_m2_roll24m,44.77945017069578
rad_MJ_m2_roll48m,44.10031323507428
cloud_frac_roll24m,43.858608020469546
mslp_hPa_lag64,43.06924021244049
cloud_frac_roll16m,40.41217302531004
rad_MJ_m2_roll16m,39.0655722245574
precip_mm_roll96m,38.383623061701655
mslp_hPa_lag48,38.29280126653612
land_use_class,36.950541362166405
t2m_C_roll8m,36.685746021568775
t2m_C_roll24m,35.93743209540844
P_mbar_lag48,34.36515640467405
wind_m_s_roll48m,34.313849184662104
P_mbar_lag32,33.5861033461988
H2S_ppm_roll48m,32.51520640216768
H2_ppm_roll96m,30.231167374178767
RH_%_lag64,29.080240461975336
t2m_C_lag16,28.800356671214104
rh_%_roll16m,28.26005218550563
P_mbar_lag1,27.304884780198336
daylength_h_lag16,26.862600971013308
t2m_C_lag12,26.518804378807545
depth_m_lag1,24.697799682617188
soil_moisture_%vol_lag16,24.363478899002075
mslp_hPa_roll16m,23.654146373271942
mslp_hPa_lag12,21.627272743731737
rad_MJ_m2_lag1,21.34133586473763
P_mbar_roll48m,21.13315258361399
P_mbar_roll24m,20.373923633247614
daylength_h_lag48,20.25423289090395
P_mbar_roll96m,19.873837055638433
mslp_hPa_roll24m,19.326483070850372
rh_%_roll8m,19.213658317923546
P_mbar_roll16m,18.97862133383751
H2_ppm_roll48m,18.27178460918367
t2m_C_lag32,18.195702388882637
daylength_h_lag24,17.472822539508343
mslp_hPa_lag16,17.30313227698207
cloud_frac_roll48m,16.77079644240439
P_mbar_roll4m,16.405187029391527
drip_rate_ml_min_roll24m,16.38567372970283
P_mbar,14.232200419530272
mslp_hPa_lag24,13.752873815596104
daylength_h_lag32,13.681618764996529
rad_MJ_m2_lag12,13.63473180681467
CH4_ppm_roll48m,13.577844053506851
mslp_hPa_roll48m,13.1383884139359
wind_m_s_roll24m,13.032217849045992
O2_%_roll48m,12.319310581311584
rad_MJ_m2_lag48,12.238008759915829
