feature,gain
O2_%,5879585052.967773
O2_%_lag1,1456428323.6801758
O2_%_roll4m,800615554.8867188
O2_%_lag2,83590963.19335938
wind_m_s_roll4m,46709359.451171875
O2_%_lag3,31350263.00439453
wind_m_s,11322048.516357422
O2_%_roll8m,11251389.455078125
O2_%_lag4,11063280.651611328
mslp_hPa_lag32,10031585.596191406
wind_m_s_roll8m,6704764.282470703
wind_gust_m_s_roll8m,6282041.322753906
O2_%_lag8,5231080.286865234
wind_gust_m_s_roll4m,4534875.328857422
wind_gust_m_s_lag3,3499379.7580566406
mslp_hPa_lag8,3287221.8259277344
elevation_m,2871058.7797851562
wind_m_s_lag3,2366370.8322753906
koppen,2125814.4301757812
mslp_hPa_lag12,2059758.2722167969
annual_precip_mm,1655247.5151367188
wind_gust_m_s_roll96m,1439657.8161621094
wind_m_s_lag4,1353674.2204589844
mslp_hPa_lag1,1325276.9819335938
mslp_hPa,1211773.978515625
O2_%_roll48m,1081227.2648925781
fault_distance_km,1046007.744140625
wind_gust_m_s_lag1,1044401.4892578125
mslp_hPa_lag96,1021476.5004882812
O2_%_roll96m,932719.2194824219
O2_%_lag12,921896.3725585938
doy_sin,847332.5183105469
cloud_frac_roll96m,822427.1569824219
wind_m_s_roll96m,812407.5004882812
litho_class_l2,772002.7333984375
drip_rate_ml_min_roll96m,762989.873046875
CH4_ppm_roll96m,744521.4794921875
CH4_ppm_roll48m,684821.7998046875
O2_%_roll16m,655118.6030273438
doy_cos,633585.3410644531
RH_%_roll96m,619902.7485351562
wind_m_s_lag8,606398.1311035156
cloud_frac_roll48m,603328.1091308594
seasonal_amp_C,595076.896484375
mslp_hPa_roll96m,567631.3486328125
H2_ppm_roll48m,567019.5422363281
mslp_hPa_lag64,546472.7529296875
sea_influence,532061.0009765625
cloud_frac_roll24m,530764.9799804688
H2_ppm_roll96m,530544.7795410156
mslp_hPa_lag48,524778.6318359375
RH_%_roll48m,524712.3889160156
cloud_frac_roll16m,523485.9812011719
